Name,Address,Phone,Email,About,City,Map,Website,Opening
HPLINK TRAVELS AND TOURS LIMITED,"5 OLAKUNLE AJIBADE STR OFF OGUDU RD OJOTA, ",12930804,,HPLink Travels and Tours Ltd is a travel management agency with a 4year history of active participation in the Nigerian travel market. Each of these 4years was spend providing travel solutions to individuals and corporations bodies.,,"https://maps.google.com/maps?daddr=6.586021466552183,3.385108709335327&saddr=",http://www.hplinktravels.com,Thursday: 8:00am-6:00pm  
Destinali,"3, Ajayi Close, Ikotun Egbe, ",9029850280,,"Destinali is an online travel company that serves as a one-stop solution to all your travel needs. We have established ourselves as an alternative for travelers where they can very readily access information they need about specific tourist destinations, hotels, resorts, etc. Whether you want a letter of invitation, visa processing, hotel reservation, flight booking, airport transfers, car hire or tour guide, we are just a click away.",,"https://maps.google.com/maps?daddr=6.5626,3.2433&saddr=",https://destinali.com,
Seventh Image,"64 Old Oj Road, Agboju Amuwo, Festac Town Lagos, ",8087655835,henry_henry002@yahoo.com,"Branding Design and printing just got easier, with seventh image you are sure of having a professional approach to all your Brand needs i.e Website designs, Graphic designs, motion graphics, 2d an 3d animation",,"https://maps.google.com/maps?daddr=6.458972201800202,3.3005762100219727&saddr=",http://www.seventhimage.net,Thursday: 9am  
Paramount Lifecare,"plot 1093, 4th Ave, Festac Town, ",9086325675,,"Paramount Life Care has emerged as the pioneers in diagnostic imaging and laboratory tests in Nigeria.Our commitment to quality and our philosophy of putting the patient first always has ensured that over the past year, Paramount LifeCare has established a reputation for excellence and reliability and has become a household name for quality diagnostic services. With our team of qualified radiologist, pathologist and microbiologist working full time, we are fully committed in ensuring our clients get a full range of diagnostic services.",,"https://maps.google.com/maps?daddr=6.476258,3.284944&saddr=",https://paramountlifecare.com,Thursday: 09:00 am - 06:00 pm  
AEROVESSEL CATERING AND HOSPITALITY SERVICES,"4, TUNDE AFOLABI STREET, OFF ADO ROAD, AJAH LAGOS, ",13423622,,"AEROVESSEL CATERING AND HOSPITALITY SERVICES IS A DIVISION OF AEROVESSEL TRAVELS AND TOURS LTD. OUR SERVICES ARE INDOOR & OUTDOOR CATERING, EVENTS PLANNING, RESTAURANT, LOCAL AND INTERNATIONAL DISHES, BAR, SHAWARMA, SMOOTHIES, COCKTAILS ETC",,"https://maps.google.com/maps?daddr=6.4707821514342285,3.565082364566706&saddr=",http://www.aerovesseltravels.com,Thursday: 8.00 am - 8.00 pm  
Magnum Homes Property,"Owopetu Abayomi Awoaya KM 35 Lekki Epe Expressway Lagos , ",8032565849,,"Magnum homes property is a real estate consultancy company located in Lagos. At magnum homes we discover that shelter is a major necessity of humanity and we strive to partner with you to ensure a trusted, comfortable and convenient acquisition of land, buildings, home automation and other real estate services making the experience a delight to be remembered for long by satisfying your real estate needs.",,"https://maps.google.com/maps?daddr=6.5876201690891785,3.358168601989746&saddr=",,Thursday: 8:00 am- 6:00 pm  
ESE Travels & Tours Ltd.,"#2 Shipeolu Str. Onipanu, ",+234(0) 803 410 3517,,"ESE TRAVELS and TOURS Ltd. your Nigerian ONE-STOP-TRAVEL SHOP providing Online Travel Booking Facility at your finger tip ! Hotels, Tours, Flights, RentCar and more ..",,"https://maps.google.com/maps?daddr=6.538481423809571,3.3686485253174396&saddr=",http://esetravels.com,Thursday: 08:30am-06:00pm  
Turbo Errands,"2b Innocent Okeanonife STREET, IGBOEFON, ",9060006408,,"At Turbo Errands, we pride ourselves as being Nigeria’s foremost on-demand errand and logistics solution provider-driven to deliver speedy and efficient service.",,"https://maps.google.com/maps?daddr=6.431316581990778,3.5220086427814294&saddr=",http://www.turboerrands.com,Thursday: Open 24 hours  
NNEW VIRTUAL OFFICE,"25,NIYI OGUNLEYE STREET OJOTA LAGOS, ",8103862948,,Think Smart! Create the right image for your business with a prestigious address and a range of amazing supporting services.,,"https://maps.google.com/maps?daddr=6.499534675281763,3.3614730834960938&saddr=",http://www.nnew.org,Thursday: 9:00 am - 5:00 pm  
CHIEF FEMI ODUFOWOKAN & CO,"33 ISAAC JOHN STREET, IGBOBI FADEYI, GROUND FLOOR,SUITE ONE,LAGOS,NIGERIA, ",2.34803E+12,,"LAW FIRM WITH EXPERTISE IN DIVORCE,REAL PROPERTY,INTERNATIONAL COMMERCIAL LAW,COMPANY SECRETARIAL PRACTICE, WILL & GENERAL PRACTICE. IN ALL AREAS OF OUR COMPETENCIES,GLOBAL BEST PROFESSIONAL PRACTICE IS OUR CUSTOM.",,"https://maps.google.com/maps?daddr=6.535624789865235,3.3737125359375675&saddr=",https://chief-femi-odufowokan-co.business.site/,Thursday: 8.00am - 6.00pm  
Akaninyene Obot & Co,"Suite 8, 82 Kudirat Abiola Way, Opposite Opebi Link Bridge Oregun Ikeja, Lagos., ",2.34803E+12,,"Akaninyene Obot & Co (Chartered Accountants) is a company registered in Nigeria with both local and international affiliations to assist enterprises and institutions of government achieve higher productivity in all aspects of their audit and assurance, internal control, internal audit, tax management and forensic investigation procedures.",,"https://maps.google.com/maps?daddr=6.597960005343341,3.3677766391660953&saddr=",https://www.akaninyeneobotco.com.ng,Thursday: 8:00 am - 6:00 pm  
ReelVerge Limited,"516, Ikorodu Road (Adjacent to Skye Bank), Ketu-Kosofe Lagos, ",2.34802E+12,,"Welcome to the ReelVerge Limited, where we offer stellar services Per Verge Per Excellence. ReelVerge Limited is a team of seasoned professionals whose expertise are profoundly engaged for business success. We offer Accounting and Tax consultancy, Public Relations. And Media Management services. ",,"https://maps.google.com/maps?daddr=6.559951231321699,3.395504951477051&saddr=",http://www.reelverge.com,Thursday: 8.00 am - 5:00 pm  
